124	305	7	4.88
148	398	7	21.52
1295	12	22	15.78
1477	106	35	103.77
12	3029	13	16.27
821	239	3	12.92
1241	194	5	27.57
6016	23396	5	111.86
205	15572	3	32.67
104	1230	18	22.2
101	310	107	50.82
17093	14	3	8.11
597	8	7	10.88
353	2877	3	22.97
10487	120	5	33.1
6976	10226	13	282.6
6611	103	4	7.44
5594	14	7	10.81
105	5471	5	9.54
578	1233	22	243.37
1437	12	14	4.36
284	169	4	7.77
1239	106	85	389.09
115	13535	4	24
101	1018	46	43.99
105	1760	39	134.81
109	8817	3	9.66
425	103	49	59.12
123	644	5	6.38
2730	13	4	15.97
182	312	8	28.64
1728	13335	3	44.6
275	578	3	12.1
421	5621	34	546.81
126	2501	3	9.11
2861	599	3	26.36
4294	101	18	35.36
8319	101	7	11.95
1956	12	19	21.22
213	534	5	21
212	937	6	33.77
207	1340	10	72.51
112	14714	3	15.52
150	2214	4	21.23
12642	103	4	14.11
14691	101	3	4.5
125	3673	13	85.61
467	12778	3	36.55
17842	101	6	23.87
122	24614	3	27.13
4781	101	8	6.15
105	211	581	2712.41
12	2066	18	19.98
104	581	130	478.44
104	2967	6	5.67
1811	144	3	12.22
110	30101	4	37.4
207	19412	3	35.4
159	2135	8	54.99
25635	105	3	16.07
103	124	271	33.9
2229	782	5	48.77
102	4698	14	42.1
101	7369	6	6.87
102	7181	10	34.95
8279	109	4	14.47
8151	12	5	8.56
180	156	5	5.1
101	17448	3	6.4
5799	107	9	34.24
108	13817	3	12.92
7131	103	3	4.45
13679	103	3	9.23
5275	420	25	363.95
130	2813	3	12.55
131	2929	5	26.54
427	9677	3	33.48
193	58	11	9.91
108	1423	31	111.53
2545	137	21	180.13
336	9171	3	31.55
858	898	8	73.02
948	12	25	13.27
7838	103	3	5.03
5790	101	8	9.16
9760	112	15	125.17
16	3396	5	18.06
106	23034	3	14.88
116	6565	5	23.12
12	11948	5	13.56
7174	12	6	10.51
9116	6807	14	299.29
1610	120	7	19.46
29502	101	4	21.73
118	1451	21	94.9
16	1683	4	7.22
120	2079	10	39.88
114	957	22	66.72
748	12	66	110.11
2785	104	52	273.46
5826	112	4	13.15
506	163	3	7.17
504	1460	40	498.81
109	5281	9	37.44
12552	12	3	5.47
112	6769	3	9.25
110	6537	19	136.49
122	9140	8	63.41
9355	1380	3	40.2
5107	14	12	28.54
4790	107	5	10.76
113	2183	16	62.19
17551	358	3	38.24
287	241	3	7.1
1754	103	11	11.12
1850	1619	3	29.11
106	1454	46	161.14
704	222	12	78.73
535	1131	11	102.06
476	317	5	24.75
113	5347	19	125.63
8815	107	11	61.5
112	3990	5	14.17
5308	112	18	114.96
107	3131	4	3.95
223	1404	5	30.49
163	2698	7	50.51
162	437	4	10.69
642	126	7	15.27
14898	167	6	72.34
4620	14	13	29.5
405	1379	4	28.01
114	8210	7	39.32
18370	107	3	14.19
101	10690	11	40.57
115	1130	19	60.83
1252	103	10	4.53
101	13167	8	28.73
105	13894	5	22.96
117	3855	3	7.51
11323	12	8	29.49
9278	104	3	6.26
116	1612	18	71.34
1640	120	6	15.21
10684	114	3	13.62
841	236	5	26.72
9242	107	3	8.27
734	17311	5	78.32
371	144	4	7.22
117	6197	3	10.8
1069	126	3	4.69
108	2641	32	162.79
2301	107	28	109.9
4245	14	7	7.02
109	664	66	250.77
113	1222	35	150.11
18314	14	3	8.9
16035	19377	6	148.92
105	21670	3	14.53
11482	12	4	8.4
396	2239	4	31.89
1442	9	6	16.66
22904	107	3	16.39
1297	1325	4	36.63
179	2434	29	301.09
14850	102	4	14.71
690	1381	6	53.5
13823	12	4	10.25
4906	101	7	4.53
125	1504	4	9.26
126	1109	3	4.82
8	253	45	145.72
113	26032	3	21.82
101	7575	11	26.39
38569	112	3	28.27
101	1905	20	12.69
190	1917	4	23.5
14822	101	5	13.99
129	1871	5	19.81
2354	21	5	22.56
2263	117	3	4.41
103	683	23	18.29
2641	101	19	19.83
104	281	38	11.83
102	1069	42	87.09
62	12	4	8.4
159	2718	8	59.26
446	4323	4	39.04
217	205	3	4.29
105	2257	39	157.1
280	501	4	17.39
102	2660	28	86.85
448	116	12	13.32
16944	107	5	28.78
579	2356	3	24.81
101	7806	5	4.88
12	5563	20	73.02
8057	105	3	5.59
114	10448	4	20.13
1841	437	4	31.25
121	3053	5	19.11
8	2657	3	7.76
271	124	13	18.05
10599	2639	5	80.93
101	18603	4	11.19
151	379	6	16.96
2497	117	4	8.59
10113	2530	11	199.06
108	12625	3	12.39
1872	2790	5	59.81
923	9876	3	38.36
10179	104	7	29.58
207	893	4	18.71
2154	101	81	309.8
122	2059	34	242.55
3110	406	3	24.42
13981	12	4	11.01
214	5214	3	23.77
125	5094	6	34.53
3972	2916	11	170.66
161	8981	4	36.21
939	829	11	107.71
1108	12	26	19.5
105	2062	19	44.2
127	1309	4	10.54
9134	101	8	18.18
57	4061	3	12.64
16998	104	3	11.17
