11924	23340	4	89.49
123	1604	8	27.7
148	397	29	159.48
4265	112	4	10.34
9250	101	4	4.15
108	13195	4	18.99
7269	171	3	23.63
2254	2418	6	73.92
1477	106	24	50.42
114	27189	4	33.45
107	29791	4	32.62
103	3949	8	14.44
3314	14	7	4.54
2291	101	36	71.16
311	184	3	5.18
695	1242	3	21.6
102	1971	67	292.82
293	26542	5	78.99
22516	103	3	13.92
147	23670	5	62.51
2488	109	8	18.65
14487	208	4	45.66
114	12177	11	91.21
103	8206	7	23.43
3481	104	6	7.05
101	6719	6	6.07
1108	6721	3	35.59
10867	103	3	6.96
11312	113	3	13.49
1238	106	11	6.78
116	16396	3	17.75
10112	15563	7	156.31
103	1512	41	120.16
192	225	4	6.76
110	31060	4	36.51
11904	12	3	3.98
3485	14	10	12.26
124	4855	3	12.06
6077	9	16	133.42
147	5013	9	77.31
16	1509	7	21.49
1030	7143	3	35.76
108	12418	8	50.65
2283	109	10	25.51
115	29083	3	24.42
123	3985	5	22.43
457	1027	3	17.82
2979	102	7	5.66
1954	12	18	13.67
108	11490	5	23.92
16	947	4	5.27
20647	12	3	8.57
1168	119	14	44.86
180	909	3	10.89
4808	102	7	11.77
272	652	5	24.98
12471	1222	13	236.72
17845	101	3	6.9
27569	27565	5	140.93
202	9649	4	39.81
103	2807	8	9.37
4780	101	10	11.8
5899	2281	3	39.16
2769	109	17	68.95
726	113	11	13.14
127	2046	18	116.72
159	773	3	8.22
604	396	12	89.45
4339	131	3	14.61
12	2064	82	329.49
282	1193	4	23.21
101	4143	17	31.06
102	2222	47	175.68
105	2839	30	117.49
250	679	14	97.12
9740	14	5	11.53
128	1453	6	21.74
102	486	64	86.2
190	1643	5	29.22
1564	725	4	33.11
116	10782	4	21.45
1535	8	3	5.26
23028	104	5	31.94
484	1339	3	19.81
6099	104	6	13.78
8152	12	5	6.97
1978	106	22	55.24
955	108	9	6.17
17458	115	5	35.87
1706	222	4	23.73
110	12517	5	27.57
2824	101	24	40.25
123	2842	4	13.39
147	8022	5	42.94
111	8917	5	24.15
362	1936	6	49.03
967	113	24	72.2
8284	112	3	10.88
5091	101	30	115.35
6111	14	8	15.8
7132	103	3	4.12
933	186	12	77.7
105	21918	3	14.43
3830	112	5	13.88
764	1394	4	32.68
109	3531	9	29.75
6806	12	5	4.9
32301	4106	4	85.41
3108	22226	6	124.62
1554	58	3	5.09
1556	855	4	34.32
19854	12	3	8.57
2485	2397	3	33.32
508	134	9	28.02
255	7811	6	64.66
8273	14	4	5.83
10315	105	3	7.09
9294	101	4	4.15
154	25220	5	69.07
946	12	34	21.2
118	1650	10	29.9
101	16310	3	5.52
101	14061	3	4.49
5789	101	10	15.89
836	790	3	19.91
3683	3031	4	52.61
114	2604	39	246.08
265	411	4	14.26
1793	113	6	9.85
4037	101	9	6.4
115	4684	3	7.08
2	5871	6	31.31
105	10787	3	7.42
117	7162	3	11.73
38388	115	3	28.9
6399	8	3	14.4
115	823	51	218.1
3823	13371	3	49.55
746	12	55	53.41
8762	14	6	14.27
13	27740	4	46.4
1943	113	17	63.5
109	3666	5	11.39
113	589	9	5.79
103	27337	4	24.5
101	27896	3	12.49
16138	101	3	5.52
107	6331	3	5.23
412	1394	4	27.7
132	7552	3	19.68
8627	3662	3	45.5
15190	107	3	11.85
640	1417	4	31.53
110	1520	47	231.14
21	62	5	53.86
109	399	15	7.26
1482	186	4	20.81
13090	12	3	4.73
1456	113	8	14.22
119	4615	6	26.78
119	636	24	75.03
114	1517	6	8.44
651	1296	17	182.3
3299	101	9	4.02
332	141	6	11.64
119	3125	18	105.41
130	14906	5	47.29
120	667	75	427.4
116	1612	23	98.57
22203	12	3	9.7
3804	4005	10	159.51
102	14390	3	8
